"Key Path","English","German","Notes (for editor)"
"posts.post4.excerpt","Practical advice for managing eczema flare-ups, including trigger identification, moisturizing strategies, and treatment options.","Praktische Ratschläge zur Bewältigung von Ekzem-Schüben, einschließlich Auslöser-Identifikation, Feuchtigkeitsstrategien und Behandlungsoptionen.",""
"posts.post4.date","January 8, 2026","8. Januar 2026",""
"posts.post4.readTime","8 min read","8 Min. Lesezeit",""
"posts.post5.title","How Diet Affects Your Skin: Foods That Help and Harm","Wie Ernährung Ihre Haut beeinflusst: Lebensmittel die helfen und schaden",""
"posts.post5.excerpt","Explore the connection between nutrition and skin health, plus discover which foods can improve or worsen common skin conditions.","Erkunden Sie die Verbindung zwischen Ernährung und Hautgesundheit und entdecken Sie, welche Lebensmittel häufige Hautprobleme verbessern oder verschlechtern können.",""
"posts.post5.date","January 5, 2026","5. Januar 2026",""
"posts.post5.readTime","6 min read","6 Min. Lesezeit",""
"posts.post6.title","Psoriasis Treatment Options: From Topicals to Biologics","Psoriasis-Behandlungsoptionen: Von Cremes bis Biologika",""
"posts.post6.excerpt","A comprehensive overview of psoriasis treatments, including the latest advances in biologic therapies and lifestyle modifications.","Ein umfassender Überblick über Psoriasis-Behandlungen, einschließlich der neuesten Fortschritte bei biologischen Therapien und Lebensstiländerungen.",""
"posts.post6.date","January 3, 2026","3. Januar 2026",""
"posts.post6.readTime","9 min read","9 Min. Lesezeit",""
"posts.post7.title","Sun Protection 101: SPF, UVA, UVB Explained","Sonnenschutz 101: SPF, UVA, UVB erklärt",""
"posts.post7.excerpt","Everything you need to know about protecting your skin from sun damage, including how to choose and apply sunscreen correctly.","Alles, was Sie über den Schutz Ihrer Haut vor Sonnenschäden wissen müssen, einschließlich der richtigen Auswahl und Anwendung von Sonnencreme.",""
"posts.post7.date","December 28, 2025","28. Dezember 2025",""
"posts.post7.readTime","5 min read","5 Min. Lesezeit",""
"posts.post8.title","Stress and Skin: How Mental Health Impacts Your Complexion","Stress und Haut: Wie die psychische Gesundheit Ihren Teint beeinflusst",""
"posts.post8.excerpt","Understand the science behind stress-related skin issues and learn strategies to maintain healthy skin during challenging times.","Verstehen Sie die Wissenschaft hinter stressbedingten Hautproblemen und lernen Sie Strategien zur Erhaltung gesunder Haut in herausfordernden Zeiten.",""
"posts.post8.date","December 25, 2025","25. Dezember 2025",""
"posts.post8.readTime","6 min read","6 Min. Lesezeit",""
"posts.post9.title","Rosacea: Triggers, Symptoms, and Treatment Approaches","Rosazea: Auslöser, Symptome und Behandlungsansätze",""
"posts.post9.excerpt","Learn to identify rosacea triggers and discover effective treatment strategies to manage this common but often misunderstood condition.","Lernen Sie, Rosazea-Auslöser zu identifizieren und entdecken Sie wirksame Behandlungsstrategien für diese häufige, aber oft missverstandene Erkrankung.",""
"posts.post9.date","December 22, 2025","22. Dezember 2025",""
"posts.post9.readTime","7 min read","7 Min. Lesezeit",""
