"Key Path","English","German","Notes (for editor)"
"dashboard.admin.confirmDeactivatePatient","Are you sure you want to deactivate this patient? They will not be able to log in.","Sind Sie sicher, dass Sie diesen Patienten deaktivieren möchten? Er kann sich nicht mehr anmelden.",""
"dashboard.admin.confirmReactivatePatient","Are you sure you want to reactivate this patient?","Sind Sie sicher, dass Sie diesen Patienten reaktivieren möchten?",""
"dashboard.admin.confirmDeletePatient","This action cannot be undone. The patient account and all associated data will be permanently deleted.","Diese Aktion kann nicht rückgängig gemacht werden. Das Patientenkonto und alle zugehörigen Daten werden dauerhaft gelöscht.",""
"dashboard.admin.patientDeactivated","Patient account deactivated","Patientenkonto deaktiviert",""
"dashboard.admin.patientReactivated","Patient account reactivated","Patientenkonto reaktiviert",""
"dashboard.admin.patientDeleted","Patient account deleted","Patientenkonto gelöscht",""
"dashboard.admin.cannotDeleteActivePatient","Cannot delete patient with active consultations","Patient mit aktiven Beratungen kann nicht gelöscht werden",""
"forgotPassword.title","Reset Password","Passwort zurücksetzen",""
"forgotPassword.dialogTitle","Reset your password","Passwort zurücksetzen",""
"forgotPassword.description","Enter your email and we'll send you a reset link.","Geben Sie Ihre E-Mail-Adresse ein und wir senden Ihnen einen Link zum Zurücksetzen.",""
"forgotPassword.dialogDescription","Enter your email address and we'll send you a link to reset your password.","Geben Sie Ihre E-Mail-Adresse ein und wir senden Ihnen einen Link zum Zurücksetzen Ihres Passworts.",""
"forgotPassword.emailSent","Email sent","E-Mail gesendet",""
"forgotPassword.checkInbox","Check your inbox for the password reset link.","Überprüfen Sie Ihren Posteingang auf den Link zum Zurücksetzen des Passworts.",""
"forgotPassword.checkYourEmail","Check your email","Überprüfen Sie Ihre E-Mail",""
"forgotPassword.sentResetLink","We've sent you a password reset link.","Wir haben Ihnen einen Link zum Zurücksetzen des Passworts gesendet.",""
"forgotPassword.emailLabel","Email","E-Mail",""
"forgotPassword.sendResetLink","Send Reset Link","Link senden",""
"forgotPassword.backToLogin","Back to Login","Zurück zur Anmeldung",""
"forgotPassword.emailSentTo","We've sent an email to","Wir haben eine E-Mail gesendet an",""
"forgotPassword.clickLinkInEmail","Click the link in the email to reset your password.","Klicken Sie auf den Link in der E-Mail, um Ihr Passwort zurückzusetzen.",""
"resetPassword.title","Set New Password","Neues Passwort festlegen",""
"resetPassword.successTitle","Password Updated!","Passwort aktualisiert!",""
"resetPassword.description","Enter your new password below.","Geben Sie unten Ihr neues Passwort ein.",""
"resetPassword.successDescription","You can now log in with your new password.","Sie können sich jetzt mit Ihrem neuen Passwort anmelden.",""
"resetPassword.newPassword","New Password","Neues Passwort",""
"resetPassword.confirmNewPassword","Confirm New Password","Neues Passwort bestätigen",""
"resetPassword.updateButton","Update Password","Passwort aktualisieren",""
"resetPassword.success","Password updated","Passwort aktualisiert",""
"resetPassword.successMessage","Your password has been successfully changed.","Ihr Passwort wurde erfolgreich geändert.",""
"resetPassword.redirecting","Redirecting to your dashboard...","Weiterleitung zu Ihrem Dashboard...",""
"resetPassword.invalidLink","Invalid or expired link","Ungültiger oder abgelaufener Link",""
"resetPassword.requestNewLink","Please request a new password reset link.","Bitte fordern Sie einen neuen Link zum Zurücksetzen des Passworts an.",""
"errors.invalidCredentials","Invalid email or password","Ungültige E-Mail oder Passwort",""
"errors.emailInUse","This email is already registered","Diese E-Mail ist bereits registriert",""
"errors.weakPassword","Password must be at least 8 characters","Das Passwort muss mindestens 8 Zeichen lang sein",""
"errors.passwordMismatch","Passwords do not match","Passwörter stimmen nicht überein",""
"errors.required","This field is required","Dieses Feld ist erforderlich",""
"errors.invalidEmail","Please enter a valid email address","Bitte geben Sie eine gültige E-Mail-Adresse ein",""
"errors.generic","An error occurred. Please try again.","Ein Fehler ist aufgetreten. Bitte versuchen Sie es erneut.",""
"errors.accessDenied","Access Denied","Zugriff verweigert",""
"errors.doctorsOnly","This portal is for doctors only.","Dieses Portal ist nur für Ärzte.",""
"errors.emailRequired","Email required","E-Mail erforderlich",""
"errors.enterEmail","Please enter your email address.","Bitte geben Sie Ihre E-Mail-Adresse ein.",""
"common.or","or","oder",""
"common.loading","Loading...","Laden...",""
"common.logout","Sign Out","Abmelden",""
"common.viewProfile","View Profile","Profil anzeigen",""
"common.dashboard","Dashboard","Dashboard",""
"common.backToHome","Back to home","Zurück zur Startseite",""
"common.cancel","Cancel","Abbrechen",""
"common.areYouDoctor","Are you a doctor?","Sind Sie Arzt?",""
"common.doctorLogin","Doctor Login","Arzt-Login",""
"common.areYouPatient","Are you a patient?","Sind Sie Patient?",""
"common.patientLogin","Patient Login","Patienten-Login",""
