"Key Path","English","German","Notes (for editor)"
"howItWorks.steps.start.title","Start Treating","Mit der Behandlung beginnen",""
"howItWorks.steps.start.description","Complete a test case and you're ready to go. Start receiving and treating patients immediately.","Schließen Sie einen Testfall ab und Sie sind startklar. Beginnen Sie sofort mit der Behandlung von Patienten.",""
"faq.title","Frequently Asked Questions","Häufig gestellte Fragen",""
"faq.description","Everything you need to know about joining our network.","Alles, was Sie über den Beitritt zu unserem Netzwerk wissen müssen.",""
"faq.items.requirements.question","What are the requirements to join?","Was sind die Voraussetzungen für die Teilnahme?",""
"faq.items.requirements.answer","You need a valid medical license (Approbation), a LANR (Lebenslange Arztnummer), BSNR (Betriebsstättennummer), and professional liability insurance that covers telemedicine.","Sie benötigen eine gültige Approbation, eine LANR (Lebenslange Arztnummer), BSNR (Betriebsstättennummer) und eine Berufshaftpflichtversicherung, die Telemedizin abdeckt.",""
"faq.items.billing.question","How does billing work?","Wie funktioniert die Abrechnung?",""
"faq.items.billing.answer","We handle all billing for you. Cases are billed according to GOÄ (Gebührenordnung für Ärzte). You receive monthly payouts directly to your bank account.","Wir übernehmen die gesamte Abrechnung für Sie. Fälle werden nach GOÄ (Gebührenordnung für Ärzte) abgerechnet. Sie erhalten monatliche Auszahlungen direkt auf Ihr Bankkonto.",""
"faq.items.eprescription.question","Can I issue e-prescriptions?","Kann ich E-Rezepte ausstellen?",""
"faq.items.eprescription.answer","Yes, our platform fully supports e-prescriptions (E-Rezept). You can issue digital prescriptions directly through the telederm interface.","Ja, unsere Plattform unterstützt E-Rezepte vollständig. Sie können digitale Rezepte direkt über die Telederm-Oberfläche ausstellen.",""
"faq.items.liability.question","Am I covered for liability?","Bin ich haftpflichtversichert?",""
"faq.items.liability.answer","You should have professional liability insurance that explicitly covers telemedicine consultations. We can provide documentation for your insurer if needed.","Sie sollten eine Berufshaftpflichtversicherung haben, die ausdrücklich telemedizinische Konsultationen abdeckt. Wir können bei Bedarf Dokumentation für Ihren Versicherer bereitstellen.",""
"faq.items.time.question","How much time do I need to commit?","Wie viel Zeit muss ich investieren?",""
"faq.items.time.answer","There's no minimum commitment. You have 48 hours to process each case, and you can choose when and how many cases to accept.","Es gibt keine Mindestverpflichtung. Sie haben 48 Stunden Zeit, jeden Fall zu bearbeiten, und können wählen, wann und wie viele Fälle Sie annehmen.",""
"faq.items.platform.question","What technical requirements are there?","Welche technischen Anforderungen gibt es?",""
"faq.items.platform.answer","You just need a computer or tablet with internet access. Our platform is web-based – no special software installation required.","Sie benötigen nur einen Computer oder ein Tablet mit Internetzugang. Unsere Plattform ist webbasiert – keine spezielle Softwareinstallation erforderlich.",""
"contact.title","Request More Information","Weitere Informationen anfordern",""
"contact.description","Leave your details and we'll send you comprehensive information about joining our network.","Hinterlassen Sie Ihre Daten und wir senden Ihnen umfassende Informationen über den Beitritt zu unserem Netzwerk.",""
"contact.form.firstName","First Name","Vorname",""
"contact.form.firstNamePlaceholder","Dr. Anna","Dr. Anna",""
"contact.form.lastName","Last Name","Nachname",""
"contact.form.lastNamePlaceholder","Schmidt","Schmidt",""
"contact.form.email","Email Address","E-Mail-Adresse",""
"contact.form.emailPlaceholder","dr.schmidt@praxis.de","dr.schmidt@praxis.de",""
"contact.form.phone","Phone (optional)","Telefon (optional)",""
"contact.form.phonePlaceholder","+49 30 1234567","+49 30 1234567",""
"contact.form.submit","Request Information","Informationen anfordern",""
"contact.form.submitting","Sending...","Wird gesendet...",""
"contact.success.title","Thank you!","Vielen Dank!",""
"contact.success.description","We've received your request and will be in touch within 24 hours.","Wir haben Ihre Anfrage erhalten und werden uns innerhalb von 24 Stunden bei Ihnen melden.",""
"cta.title","Ready to Transform Your Practice?","Bereit, Ihre Praxis zu transformieren?",""
"cta.description","Join 750+ dermatologists already earning with telederm. Registration takes just 10 minutes.","Schließen Sie sich 750+ Dermatologen an, die bereits mit Telederm verdienen. Die Registrierung dauert nur 10 Minuten.",""
"cta.button","Register as Doctor","Als Arzt registrieren",""
"cta.secondary","Contact Us","Kontaktiere Uns",""
