"Key Path","English","German","Notes (for editor)"
"conditions.featured.psoriasis.description","Red, scaly patches often on elbows, knees, and scalp","Rote, schuppige Stellen oft an Ellbogen, Knien und Kopfhaut",""
"conditions.featured.rosacea.name","Rosacea","Rosazea",""
"conditions.featured.rosacea.description","Facial redness and visible blood vessels","Gesichtsrötung und sichtbare Blutgefäße",""
"conditions.featured.skinRashes.name","Skin Rashes","Hautausschläge",""
"conditions.featured.skinRashes.description","Unexplained irritation, redness, or allergic reactions","Unerklärliche Reizungen, Rötungen oder allergische Reaktionen",""
"conditions.featured.hairLoss.name","Hair Loss","Haarausfall",""
"conditions.featured.hairLoss.description","Thinning hair or bald patches on scalp","Dünner werdendes Haar oder kahle Stellen auf der Kopfhaut",""
"pricing.label","Pricing Plans","Preise",""
"pricing.title","Choose Your Care Level","Wählen Sie Ihre Versorgungsstufe",""
"pricing.description","Transparent pricing with no hidden fees. Select the plan that best fits your needs.","Transparente Preise ohne versteckte Gebühren. Wählen Sie den Plan, der am besten zu Ihren Bedürfnissen passt.",""
"pricing.oneTime","one-time","einmalig",""
"pricing.responseWithin","Response within {{time}}","Antwort innerhalb von {{time}}","Keep {{time}} placeholder"
"pricing.mostPopular","Most Popular","Am beliebtesten",""
"pricing.selectPlan","Select Plan","Plan auswählen",""
"pricing.startTreatment","Start Treatment","Behandlung starten",""
"pricing.note","*Price of medication not included. Many health insurance plans reimburse telemedicine consultations — check with your provider for coverage details.","*Medikamentenpreis nicht inbegriffen. Viele Krankenversicherungen erstatten Telemedizin-Konsultationen — informieren Sie sich bei Ihrer Versicherung.",""
"pricing.plans.standard.name","Standard Request","Standard-Anfrage",""
"pricing.plans.standard.description","A skin concern has recently appeared and you want a professional assessment and recommendation? This is the right option for you!","Ein Hautproblem ist kürzlich aufgetreten und Sie möchten eine professionelle Einschätzung und Empfehlung? Das ist die richtige Option für Sie!",""
"pricing.plans.standard.features[0]","Full reimbursement for private insurance","Volle Erstattung für Privatversicherte",""
"pricing.plans.standard.features[1]","Response within 48 hours (weekdays)","Antwort innerhalb von 48 Stunden (Werktage)",""
"pricing.plans.standard.features[2]","Prescription if medically necessary","Rezept bei medizinischer Notwendigkeit",""
"pricing.plans.standard.features[3]","Home delivery of medication*","Lieferung der Medikamente nach Hause*",""
"pricing.plans.urgent.name","Urgent Request","Dringende Anfrage",""
"pricing.plans.urgent.description","Need an urgent assessment of your skin concerns? Waiting is not an option? Get a response from a skin specialist within 24 hours on weekdays — and even on weekends!","Brauchen Sie eine dringende Einschätzung Ihrer Hautprobleme? Warten ist keine Option? Erhalten Sie eine Antwort von einem Hautspezialisten innerhalb von 24 Stunden an Werktagen — und sogar am Wochenende!",""
"pricing.plans.urgent.features[0]","Full reimbursement for private insurance","Volle Erstattung für Privatversicherte",""
"pricing.plans.urgent.features[1]","Response within 24 hours (weekdays)","Antwort innerhalb von 24 Stunden (Werktage)",""
"pricing.plans.urgent.features[2]","Prescription if medically necessary","Rezept bei medizinischer Notwendigkeit",""
"pricing.plans.urgent.features[3]","Home delivery of medication*","Lieferung der Medikamente nach Hause*",""
"pricing.plans.urgent.features[4]","One follow-up question included","Eine Nachfrage inklusive",""
"pricing.plans.expert.name","Expert Treatment","Experten-Behandlung",""
"pricing.plans.expert.description","Have a persistent skin problem where treatment hasn't worked? Our specialists will take care of your issue and create an individualized treatment plan.","Haben Sie ein hartnäckiges Hautproblem, bei dem die Behandlung nicht gewirkt hat? Unsere Spezialisten kümmern sich um Ihr Problem und erstellen einen individuellen Behandlungsplan.",""
"pricing.plans.expert.features[0]","Full reimbursement for private insurance","Volle Erstattung für Privatversicherte",""
"pricing.plans.expert.features[1]","Response within 24 hours (weekdays)","Antwort innerhalb von 24 Stunden (Werktage)",""
"pricing.plans.expert.features[2]","Prescription if medically necessary","Rezept bei medizinischer Notwendigkeit",""
"pricing.plans.expert.features[3]","Home delivery of medication*","Lieferung der Medikamente nach Hause*",""
"pricing.plans.expert.features[4]","Multiple follow-up questions","Mehrere Nachfragen",""
"pricing.plans.expert.features[5]","Individualized treatment plan","Individueller Behandlungsplan",""
"pricing.plans.expert.features[6]","Detailed medical report","Detaillierter Arztbericht",""
"faq.label","FAQ","FAQ",""
"faq.title","Frequently Asked Questions","Häufig gestellte Fragen",""
"faq.description","Everything you need to know about our telemedicine service.","Alles, was Sie über unseren Telemedizin-Service wissen müssen.",""
"faq.questions.q1.question","How does the online consultation work?","Wie funktioniert die Online-Konsultation?",""
"faq.questions.q1.answer","It's simple! Upload photos of your skin concern, answer a few questions about your symptoms and medical history, and our dermatologists will review your case. You'll receive a detailed diagnosis and treatment plan within 24 hours via the app.","Ganz einfach! Laden Sie Fotos Ihres Hautproblems hoch, beantworten Sie einige Fragen zu Ihren Symptomen und Ihrer Krankengeschichte, und unsere Dermatologen werden Ihren Fall prüfen. Sie erhalten eine detaillierte Diagnose und einen Behandlungsplan innerhalb von 24 Stunden über die App.",""
"faq.questions.q2.question","Who are the dermatologists?","Wer sind die Dermatologen?",""
"faq.questions.q2.answer","All our dermatologists are board-certified specialists with years of clinical experience. They are licensed physicians who have completed specialized training in dermatology and are authorized to diagnose and prescribe treatments.","Alle unsere Dermatologen sind approbierte Fachärzte mit jahrelanger klinischer Erfahrung. Sie sind zugelassene Ärzte, die eine spezialisierte Ausbildung in Dermatologie absolviert haben und berechtigt sind, Diagnosen zu stellen und Behandlungen zu verschreiben.",""
"faq.questions.q3.question","Can you prescribe medication?","Können Sie Medikamente verschreiben?",""
"faq.questions.q3.answer","Yes, if our dermatologists determine that prescription medication is necessary for your treatment, they can issue a prescription. This will be sent directly to your preferred pharmacy for pickup or delivery.","Ja, wenn unsere Dermatologen feststellen, dass ein verschreibungspflichtiges Medikament für Ihre Behandlung notwendig ist, können sie ein Rezept ausstellen. Dieses wird direkt an Ihre bevorzugte Apotheke zur Abholung oder Lieferung gesendet.",""
"faq.questions.q4.question","Is my data secure?","Sind meine Daten sicher?",""
"faq.questions.q4.answer","Absolutely. We take your privacy seriously. All data is encrypted and stored in compliance with GDPR and medical data protection regulations. Your information is only accessible to the treating dermatologist and is never shared with third parties.","Absolut. Wir nehmen Ihre Privatsphäre ernst. Alle Daten werden verschlüsselt und in Übereinstimmung mit DSGVO und medizinischen Datenschutzvorschriften gespeichert. Ihre Informationen sind nur für den behandelnden Dermatologen zugänglich und werden niemals an Dritte weitergegeben.",""
"faq.questions.q5.question","What conditions can be treated online?","Welche Erkrankungen können online behandelt werden?",""
"faq.questions.q5.answer","We treat a wide range of skin conditions including acne, eczema, psoriasis, rosacea, rashes, fungal infections, hair loss, and more. For conditions that require physical examination or procedures, we'll recommend an in-person visit.","Wir behandeln ein breites Spektrum an Hauterkrankungen einschließlich Akne, Ekzeme, Psoriasis, Rosazea, Hautausschläge, Pilzinfektionen, Haarausfall und mehr. Bei Erkrankungen, die eine körperliche Untersuchung oder Eingriffe erfordern, empfehlen wir einen persönlichen Besuch.",""
"faq.questions.q6.question","How long does it take to get a response?","Wie lange dauert es, bis ich eine Antwort bekomme?",""
"faq.questions.q6.answer","Most cases receive a diagnosis within 24 hours during weekdays. Urgent cases may be prioritized. You'll receive a notification as soon as your dermatologist has reviewed your case.","Die meisten Fälle erhalten an Werktagen innerhalb von 24 Stunden eine Diagnose. Dringende Fälle können priorisiert werden. Sie erhalten eine Benachrichtigung, sobald Ihr Dermatologe Ihren Fall geprüft hat.",""
"contact.label","Get in Touch","Kontakt",""
"contact.title","Have Questions? Contact Us","Haben Sie Fragen? Kontaktieren Sie uns",""
"contact.description","Our team is here to help. Send us a message and we'll respond within 24 hours.","Unser Team ist hier, um zu helfen. Senden Sie uns eine Nachricht und wir antworten innerhalb von 24 Stunden.",""
"contact.info.title","Contact Information","Kontaktinformationen",""
"contact.info.email","Email","E-Mail",""
"contact.info.phone","Phone","Telefon",""
"contact.info.responseTime","Response Time","Antwortzeit",""
"contact.info.responseValue","Within 24 hours","Innerhalb von 24 Stunden",""
"contact.form.name","Name","Name",""
"contact.form.namePlaceholder","Your name","Ihr Name",""
"contact.form.email","Email","E-Mail",""
"contact.form.emailPlaceholder","your@email.com","ihre@email.de",""
"contact.form.phone","Phone Number","Telefonnummer",""
"contact.form.phonePlaceholder","+49 123 456 7890","+49 123 456 7890",""
"contact.form.message","Message","Nachricht",""
"contact.form.messagePlaceholder","How can we help you?","Wie können wir Ihnen helfen?",""
"contact.form.sending","Sending...","Wird gesendet...",""
"contact.form.submit","Send Message","Nachricht senden",""
"contact.toast.title","Message sent!","Nachricht gesendet!",""
"contact.toast.description","We'll get back to you within 24 hours.","Wir melden uns innerhalb von 24 Stunden bei Ihnen.",""
"cta.title","Take the First Step Towards Healthier Skin","Machen Sie den ersten Schritt zu gesünderer Haut",""
"cta.description","Join thousands of patients who've discovered convenient, professional dermatology care from home.","Schließen Sie sich Tausenden von Patienten an, die bequeme, professionelle dermatologische Versorgung von zu Hause aus entdeckt haben.",""
"cta.button","Start Treatment Now","Behandlung jetzt starten",""
"reviews.title","What Our Patients Say","Das sagen unsere Patienten",""
"reviews.description","Over 10,000 satisfied patients trust Telederm for their skin health","Über 10.000 zufriedene Patienten vertrauen Telederm für ihre Hautgesundheit",""
"reviews.viewAll","View all reviews on Google","Alle Bewertungen auf Google ansehen",""
"reviews.reviews.r1.name","Sarah M.","Sarah M.",""
"reviews.reviews.r1.date","2 weeks ago","vor 2 Wochen",""
"reviews.reviews.r1.text","Quick and professional diagnosis! Within a few hours I had a response and the right medication. Highly recommended!","Schnelle und professionelle Diagnose! Innerhalb von wenigen Stunden hatte ich eine Antwort und das richtige Medikament. Sehr empfehlenswert!",""
"reviews.reviews.r2.name","Thomas K.","Thomas K.",""
"reviews.reviews.r2.date","1 month ago","vor 1 Monat",""
"reviews.reviews.r2.text","Finally no more long waiting times at the dermatologist. The app is super easy to use and the doctors are very competent.","Endlich keine langen Wartezeiten mehr beim Hautarzt. Die App ist super einfach zu bedienen und die Ärzte sind sehr kompetent.",""
"reviews.reviews.r3.name","Lisa B.","Lisa B.",""
"reviews.reviews.r3.date","3 weeks ago","vor 3 Wochen",""
"reviews.reviews.r3.text","Had a stubborn eczema and immediately got the right treatment. After a week everything was gone. Thanks Telederm!","Hatte ein hartnäckiges Ekzem und bekam sofort die richtige Behandlung. Nach einer Woche war alles weg. Danke Telederm!",""
"reviews.reviews.r4.name","Michael R.","Michael R.",""
"reviews.reviews.r4.date","2 months ago","vor 2 Monaten",""
"reviews.reviews.r4.text","Very good service. Uploading the photos was easy and the diagnosis came faster than expected. Would use it again.","Sehr guter Service. Die Fotos hochladen war einfach und die Diagnose kam schneller als erwartet. Würde es wieder nutzen.",""
"reviews.reviews.r5.name","Anna S.","Anna S.",""
"reviews.reviews.r5.date","1 week ago","vor 1 Woche",""
"reviews.reviews.r5.text","Perfect for working professionals! I could do everything from home without having to take a day off.","Perfekt für Berufstätige! Konnte alles von zuhause aus erledigen, ohne mir einen Tag frei nehmen zu müssen.",""
"reviews.reviews.r6.name","David W.","David W.",""
"reviews.reviews.r6.date","3 days ago","vor 3 Tagen",""
"reviews.reviews.r6.text","The dermatologists are truly experts in their field. I felt well taken care of and the treatment worked immediately.","Die Dermatologen sind wirklich Experten auf ihrem Gebiet. Habe mich gut aufgehoben gefühlt und die Behandlung hat sofort gewirkt.",""
"reviews.reviews.r7.name","Katharina H.","Katharina H.",""
"reviews.reviews.r7.date","5 days ago","vor 5 Tagen",""
"reviews.reviews.r7.text","My rosacea was finally properly diagnosed. The treatment plan is very detailed and helpful. Absolute recommendation!","Meine Rosazea wurde endlich richtig diagnostiziert. Der Behandlungsplan ist sehr detailliert und hilfreich. Absolute Empfehlung!",""
"reviews.reviews.r8.name","Johannes L.","Johannes L.",""
"reviews.reviews.r8.date","1 week ago","vor 1 Woche",""
"reviews.reviews.r8.text","Straightforward and effective. The doctors take their time and explain everything clearly. Better than any office visit.","Unkompliziert und effektiv. Die Ärzte nehmen sich Zeit und erklären alles verständlich. Besser als jeder Praxisbesuch.",""
"reviews.reviews.r9.name","Patricia M.","Patricia M.",""
"reviews.reviews.r9.date","2 weeks ago","vor 2 Wochen",""
"reviews.reviews.r9.text","Had concerns about online diagnosis, but was pleasantly surprised. Very thorough and professional!","Hatte Bedenken wegen der Online-Diagnose, aber wurde positiv überrascht. Sehr gründlich und professionell!",""
"reviews.reviews.r10.name","Christian B.","Christian B.",""
"reviews.reviews.r10.date","3 weeks ago","vor 3 Wochen",""
"reviews.reviews.r10.text","Super fast help with my psoriasis. The prescription was sent directly to my pharmacy. Top service!","Super schnelle Hilfe bei meiner Schuppenflechte. Das Rezept wurde direkt an meine Apotheke geschickt. Top Service!",""
"reviews.reviews.r11.name","Nina F.","Nina F.",""
"reviews.reviews.r11.date","4 days ago","vor 4 Tagen",""
"reviews.reviews.r11.text","As a working mother, I don't have time for long doctor visits. Telederm is the perfect solution for me.","Als berufstätige Mutter habe ich keine Zeit für lange Arztbesuche. Telederm ist die perfekte Lösung für mich.",""
"reviews.reviews.r12.name","Henrik S.","Henrik S.",""
"reviews.reviews.r12.date","1 month ago","vor 1 Monat",""
"reviews.reviews.r12.text","I'm thrilled with the quality of the consultation. The dermatologists are competent and friendly. Happy to use again!","Bin begeistert von der Qualität der Beratung. Die Dermatologen sind kompetent und freundlich. Gerne wieder!",""
"reviews.reviews.r13.name","Elena K.","Elena K.",""
"reviews.reviews.r13.date","6 days ago","vor 6 Tagen",""
"reviews.reviews.r13.text","My acne has significantly improved thanks to the prescribed treatment. Many thanks to the Telederm team!","Meine Akne hat sich dank der verschriebenen Behandlung deutlich verbessert. Vielen Dank an das Telederm-Team!",""
"reviews.reviews.r14.name","Felix D.","Felix D.",""
"reviews.reviews.r14.date","2 weeks ago","vor 2 Wochen",""
"reviews.reviews.r14.text","Simple process, quick response, effective treatment. What more could you want? 5 stars deserved!","Einfacher Prozess, schnelle Antwort, wirksame Behandlung. Was will man mehr? 5 Sterne verdient!",""
"reviews.reviews.r15.name","Rita W.","Rita W.",""
"reviews.reviews.r15.date","3 weeks ago","vor 3 Wochen",""
"reviews.reviews.r15.text","The data security convinced me. Everything GDPR compliant and very discreet. I feel well taken care of.","Die Datensicherheit hat mich überzeugt. Alles DSGVO-konform und sehr diskret. Fühle mich gut aufgehoben.",""
"reviews.reviews.r16.name","Benjamin A.","Benjamin A.",""
"reviews.reviews.r16.date","1 week ago","vor 1 Woche",""
"reviews.reviews.r16.text","Had a stubborn rash. Within 24 hours I had a diagnosis and the right medication.","Hatte einen hartnäckigen Ausschlag. Innerhalb von 24 Stunden hatte ich eine Diagnose und das passende Medikament.",""
"reviews.reviews.r17.name","Vanessa P.","Vanessa P.",""
"reviews.reviews.r17.date","5 days ago","vor 5 Tagen",""
"reviews.reviews.r17.text","The app is intuitive and the whole process is very pleasant. Will definitely recommend Telederm.","Die App ist intuitiv und der gesamte Ablauf sehr angenehm. Werde Telederm auf jeden Fall weiterempfehlen.",""
"reviews.reviews.r18.name","Georg N.","Georg N.",""
"reviews.reviews.r18.date","2 months ago","vor 2 Monaten",""
"reviews.reviews.r18.text","First-class service! The doctors address individual questions and the follow-up care is also great.","Erstklassiger Service! Die Ärzte gehen auf individuelle Fragen ein und die Nachbetreuung ist auch super.",""
"doctors.label","Our Medical Team","Unser Ärzteteam",""
"doctors.title","Experienced Dermatologists for Your Skin","Erfahrene Dermatologen für Ihre Haut",""
"doctors.description","All our doctors are licensed dermatology specialists with years of experience in treating skin conditions","Alle unsere Ärzte sind approbierte Fachärzte für Dermatologie mit langjähriger Erfahrung in der Behandlung von Hauterkrankungen",""
"doctors.swipeHint","← Swipe to see more →","← Wischen um mehr zu sehen →",""
"doctors.doctors.arzberger.name","Dr. Edith Arzberger","Dr. Edith Arzberger",""
"doctors.doctors.arzberger.title","Dermatology Specialist","Fachärztin für Dermatologie",""
"doctors.doctors.arzberger.location","Liezen, Hauptplatz 1","Liezen, Hauptplatz 1",""
"doctors.doctors.berger.name","Dr. Horst Berger","Dr. Horst Berger",""
"doctors.doctors.berger.title","Dermatology Specialist","Facharzt für Dermatologie",""
"doctors.doctors.berger.location","Wels, Maximilian-Pagl-Straße 12","Wels, Maximilian-Pagl-Straße 12",""
"doctors.doctors.fruehauf.name","Doz. Dr. Julia Frühauf","Doz. Dr. Julia Frühauf",""
"doctors.doctors.fruehauf.title","Dermatology Specialist","Fachärztin für Dermatologie",""
"doctors.doctors.fruehauf.location","Baden, Hauptstraße 98","Baden, Hauptstraße 98",""
"doctors.doctors.kilbertus.name","Dr. Alex Kilbertus","Dr. Alex Kilbertus",""
"doctors.doctors.kilbertus.title","Dermatology Specialist","Facharzt für Dermatologie",""
"doctors.doctors.kilbertus.location","Wels, Dr.-Koss-Straße 1","Wels, Dr.-Koss-Straße 1",""
"doctors.doctors.kraus.name","Dr. Lukas Kraus","Dr. Lukas Kraus",""
"doctors.doctors.kraus.title","Dermatology Specialist","Facharzt für Dermatologie",""
"doctors.doctors.kraus.location","Dornbirn, Schulgasse 36","Dornbirn, Schulgasse 36",""
"doctors.doctors.leinweber.name","Dr. Bernd Leinweber","Dr. Bernd Leinweber",""
"doctors.doctors.leinweber.title","Dermatology Specialist","Facharzt für Dermatologie",""
"doctors.doctors.leinweber.location","Graz, Beethovenstraße 5","Graz, Beethovenstraße 5",""
"doctors.doctors.mayr.name","Dr. Sylvia Mayr","Dr. Sylvia Mayr",""
"doctors.doctors.mayr.title","Dermatology Specialist","Fachärztin für Dermatologie",""
"doctors.doctors.mayr.location","Wörgl, Bahnhofstraße 25","Wörgl, Bahnhofstraße 25",""
"doctors.doctors.messeritschfanta.name","Dr. Christine Messeritsch-Fanta","Dr. Christine Messeritsch-Fanta",""
"doctors.doctors.messeritschfanta.title","Dermatology Specialist","Fachärztin für Dermatologie",""
"doctors.doctors.messeritschfanta.location","Mödling, Hauptstraße 36, Ebene 4","Mödling, Hauptstraße 36, Ebene 4",""
"doctors.doctors.hofmannwellenhof.name","AO Univ. Prof. Dr. Rainer Hofmann-Wellenhof","AO Univ. Prof. Dr. Rainer Hofmann-Wellenhof",""
"doctors.doctors.hofmannwellenhof.title","Dermatology Specialist","Facharzt für Dermatologie",""
"doctors.doctors.hofmannwellenhof.location","Graz","Graz",""
"doctors.doctors.narrobartenstein.name","Dr. Eva Narro-Bartenstein","Dr. Eva Narro-Bartenstein",""
"doctors.doctors.narrobartenstein.title","Dermatology Specialist","Fachärztin für Dermatologie",""
"doctors.doctors.narrobartenstein.location","Graz, Conrad-von-Hötzendorf-Straße 22","Graz, Conrad-von-Hötzendorf-Straße 22",""
"doctors.doctors.ambrosrudolph.name","Doz. Dr. Christina Ambros-Rudolph","Doz. Dr. Christina Ambros-Rudolph",""
"doctors.doctors.ambrosrudolph.title","Dermatology Specialist","Fachärztin für Dermatologie",""
"doctors.doctors.ambrosrudolph.location","Graz, Gleisdorfer Gasse 15","Graz, Gleisdorfer Gasse 15",""
"about.label","About Telederm","Über Telederm",""
"about.title","We're Revolutionizing Dermatological Care","Wir revolutionieren die dermatologische Versorgung",""
"about.paragraphs.p1","Telederm was founded in 2020 with a clear vision: To provide everyone with quick and easy access to qualified dermatological care.","Telederm wurde 2020 mit einer klaren Vision gegründet: Jedem Menschen in Deutschland schnellen und einfachen Zugang zu qualifizierter dermatologischer Versorgung zu ermöglichen.",""
"about.paragraphs.p2","Long waiting times for dermatologist appointments are a problem we wanted to solve. With our team of experienced dermatologists and state-of-the-art telemedicine technology, we offer a fast, secure, and professional alternative.","Lange Wartezeiten auf Hautarzttermine sind ein Problem, das wir lösen wollten. Mit unserem Team aus erfahrenen Dermatologen und modernster Telemedizin-Technologie bieten wir eine schnelle, sichere und professionelle Alternative.",""
"about.paragraphs.p3","Today, over 50,000 patients trust us with their skin health. Our medical team consists of more than 20 licensed dermatology specialists who are here for you with passion and expertise.","Heute vertrauen uns über 50.000 Patienten ihre Hautgesundheit an. Unser Ärzteteam besteht aus mehr als 20 approbierten Fachärzten für Dermatologie, die mit Leidenschaft und Expertise für Sie da sind.",""
"about.stats.patients","Patients","Patienten",""
"about.stats.dermatologists","Dermatologists","Dermatologen",""
"about.stats.rating","Rating","Bewertung",""
"about.values.patientCentered.title","Patient-Centered","Patientenzentriert",""
"about.values.patientCentered.description","Your health is our top priority","Ihre Gesundheit steht bei uns an erster Stelle",""
"about.values.privacy.title","Data Privacy","Datenschutz",""
"about.values.privacy.description","Highest standards for your personal data","Höchste Standards für Ihre persönlichen Daten",""
"about.values.innovation.title","Innovation","Innovation",""
"about.values.innovation.description","State-of-the-art telemedicine technology","Modernste Telemedizin-Technologie",""
"about.values.accessibility.title","Accessibility","Zugänglichkeit",""
"about.values.accessibility.description","Dermatologist for everyone, everywhere, anytime","Hautarzt für jeden, überall und jederzeit",""
"about.mission.title","Our Mission","Unsere Mission",""
"about.mission.quote","""We believe that everyone deserves access to first-class dermatological care — fast, easy, and from anywhere. With Telederm, we're making this dream a reality.""","""Wir glauben, dass jeder Mensch Zugang zu erstklassiger dermatologischer Versorgung verdient – schnell, einfach und von überall aus. Mit Telederm machen wir diesen Traum zur Realität.""",""
"about.mission.attribution","— The Telederm Team","— Das Telederm Team",""
