"Key Path","English","German","Notes (for editor)"
"packages.enterprise.name","Enterprise","Enterprise",""
"packages.enterprise.description","Customized solution for large enterprises","Maßgeschneiderte Lösung für Großunternehmen",""
"packages.enterprise.price","On request","Auf Anfrage",""
"packages.enterprise.features[0]","Unlimited consultations","Unbegrenzte Konsultationen",""
"packages.enterprise.features[1]","Priority response (12h)","Prioritäts-Antwort (12h)",""
"packages.enterprise.features[2]","Dedicated Account Manager","Dedizierter Account Manager",""
"packages.enterprise.features[3]","Custom reporting","Individuelles Reporting",""
"packages.enterprise.features[4]","Full onboarding","Vollständiges Onboarding",""
"packages.enterprise.features[5]","HR system integration","HR-System Integration",""
"packages.enterprise.features[6]","On-site training","Vor-Ort Schulungen",""
"packages.cta","Let's Talk","Lassen Sie uns sprechen",""
"partners.title","Trusted by Our Partners","Unsere Partner vertrauen uns",""
"partners.description","Leading companies rely on Telederm for their employees' skin health","Führende Unternehmen setzen auf Telederm für die Hautgesundheit ihrer Mitarbeiter",""
"testimonials.title","What HR Managers Say","Das sagen HR-Manager",""
"testimonials.description","Learn how other companies benefit from Telederm","Erfahren Sie, wie andere Unternehmen von Telederm profitieren",""
"testimonials.items.t1.name","Sabine K.","Sabine K.",""
"testimonials.items.t1.role","HR Director","HR-Direktorin",""
"testimonials.items.t1.company","Tech company, 500+ employees","Tech-Unternehmen, 500+ Mitarbeiter",""
"testimonials.items.t1.quote","Since introducing Telederm, sick days due to skin problems have dropped by 35%. Employees greatly appreciate the easy access.","Seit wir Telederm eingeführt haben, sind die krankheitsbedingten Fehltage durch Hautprobleme um 35% gesunken. Die Mitarbeiter schätzen den einfachen Zugang enorm.",""
"testimonials.items.t2.name","Michael B.","Michael B.",""
"testimonials.items.t2.role","Managing Director","Geschäftsführer",""
"testimonials.items.t2.company","Manufacturing, 200 employees","Produktionsbetrieb, 200 Mitarbeiter",""
"testimonials.items.t2.quote","Occupational skin diseases are a major issue in our industry. With Telederm, we can act preventively and optimally support our employees.","Berufsbedingte Hauterkrankungen sind in unserer Branche ein großes Thema. Mit Telederm können wir präventiv handeln und unsere Mitarbeiter optimal unterstützen.",""
"testimonials.items.t3.name","Dr. Christina W.","Dr. Christina W.",""
"testimonials.items.t3.role","Company Doctor","Betriebsärztin",""
"testimonials.items.t3.company","Insurance corporation","Versicherungskonzern",""
"testimonials.items.t3.quote","As a company doctor, I recommend Telederm without reservation. The quality of diagnoses is excellent and relieves our occupational health team.","Als Betriebsärztin empfehle ich Telederm ohne Einschränkung. Die Qualität der Diagnosen ist exzellent und entlastet unser betriebsärztliches Team.",""
"faq.title","Frequently Asked Questions","Häufig gestellte Fragen",""
"faq.description","Answers to the most important questions about our corporate offering","Antworten auf die wichtigsten Fragen zum Unternehmensangebot",""
"faq.questions.q1.question","How quickly can we start?","Wie schnell können wir starten?",""
"faq.questions.q1.answer","After signing the contract, we can go live within 2-3 weeks. We handle the complete setup and support you with internal communication.","Nach Vertragsabschluss können wir innerhalb von 2-3 Wochen live gehen. Wir übernehmen das komplette Setup und unterstützen Sie bei der internen Kommunikation.",""
"faq.questions.q2.question","Is there a minimum number of employees?","Gibt es eine Mindestanzahl an Mitarbeitern?",""
"faq.questions.q2.answer","Our Starter package is available from 50 employees. For smaller companies, we offer individual solutions – just contact us.","Unser Starter-Paket ist ab 50 Mitarbeitern verfügbar. Für kleinere Unternehmen bieten wir individuelle Lösungen an – sprechen Sie uns einfach an.",""
"faq.questions.q3.question","How is data protection handled?","Wie ist der Datenschutz geregelt?",""
"faq.questions.q3.answer","All medical data is strictly confidential and stored in GDPR compliance. As an employer, you only receive anonymized, aggregated usage data.","Alle medizinischen Daten sind streng vertraulich und DSGVO-konform gespeichert. Sie als Arbeitgeber erhalten nur anonymisierte, aggregierte Nutzungsdaten.",""
"faq.questions.q4.question","Can employees include family members?","Können Mitarbeiter auch Familienangehörige mitversichern?",""
"faq.questions.q4.answer","Yes, for a small additional fee, employees can include their partners and children in the service.","Ja, gegen einen geringen Aufpreis können Mitarbeiter ihre Partner und Kinder in den Service einschließen.",""
"faq.questions.q5.question","Which skin conditions are treated?","Welche Hauterkrankungen werden behandelt?",""
"faq.questions.q5.answer","Our dermatologists treat the full spectrum of dermatology: from acne and eczema to occupational skin diseases and skin cancer screening.","Unsere Dermatologen behandeln das gesamte Spektrum der Dermatologie: von Akne und Ekzemen bis zu berufsbedingten Hauterkrankungen und Hautkrebs-Vorsorge.",""
"faq.questions.q6.question","How does billing work?","Wie erfolgt die Abrechnung?",""
"faq.questions.q6.answer","Billing is monthly based on active employees. You receive a clear invoice and detailed usage statistics.","Die Abrechnung erfolgt monatlich auf Basis der aktiven Mitarbeiter. Sie erhalten eine übersichtliche Rechnung und detaillierte Nutzungsstatistiken.",""
"contact.title","Let's Talk","Lassen Sie uns sprechen",""
"contact.description","Find out how Telederm can improve skin health in your company. Our business consultants look forward to speaking with you.","Erfahren Sie, wie Telederm die Hautgesundheit in Ihrem Unternehmen verbessern kann. Unsere Unternehmensberater freuen sich auf Ihr Gespräch.",""
"contact.form.company","Company","Unternehmen",""
"contact.form.companyPlaceholder","Your company","Ihr Unternehmen",""
"contact.form.name","Contact Person","Ansprechpartner",""
"contact.form.namePlaceholder","Your name","Ihr Name",""
"contact.form.email","Business Email","Geschäftliche E-Mail",""
"contact.form.emailPlaceholder","name@company.com","name@unternehmen.de",""
"contact.form.phone","Phone","Telefon",""
"contact.form.phonePlaceholder","+49 123 456 7890","+49 123 456 7890",""
"contact.form.employees","Number of Employees","Anzahl Mitarbeiter",""
"contact.form.employeesPlaceholder","Select...","Wählen Sie...",""
"contact.form.employeesOptions.small","50-100 employees","50-100 Mitarbeiter",""
"contact.form.employeesOptions.medium","100-500 employees","100-500 Mitarbeiter",""
"contact.form.employeesOptions.large","500-2000 employees","500-2000 Mitarbeiter",""
"contact.form.employeesOptions.enterprise","2000+ employees","2000+ Mitarbeiter",""
"contact.form.message","Message (optional)","Nachricht (optional)",""
"contact.form.messagePlaceholder","Your specific requirements or questions","Ihre spezifischen Anforderungen oder Fragen",""
"contact.form.submit","Schedule a Call","Gespräch vereinbaren",""
"contact.form.sending","Sending...","Wird gesendet...",""
"contact.benefits.callback","Callback within 24h","Rückruf innerhalb von 24h",""
"contact.benefits.demo","Free demo","Kostenlose Demo",""
"contact.benefits.noObligation","No-obligation call","Unverbindliches Gespräch",""
"contact.success.title","Thank you for your inquiry!","Vielen Dank für Ihre Anfrage!",""
"contact.success.description","We have received your request and will contact you within 24 hours.","Wir haben Ihre Anfrage erhalten und werden uns innerhalb von 24 Stunden bei Ihnen melden.",""
"cta.title","Ready for Healthier Employees?","Bereit für gesündere Mitarbeiter?",""
"cta.description","Start today and give your team access to first-class dermatological care.","Starten Sie noch heute und bieten Sie Ihrem Team den Zugang zu erstklassiger dermatologischer Versorgung.",""
"cta.button","Contact Us Now","Jetzt Kontakt aufnehmen",""
