"Key Path","English","German","Notes (for editor)"
"step8.socialSecurityPlaceholder","e.g. 123-45-6789","z.B. 12 345678 A 123",""
"step8.biologicalSex","Biological sex","Biologisches Geschlecht",""
"step8.sexOptions.male","Male","Männlich",""
"step8.sexOptions.female","Female","Weiblich",""
"step8.sexOptions.diverse","Diverse","Divers",""
"step8.additionalNotes","Any additional information?","Weitere Informationen?",""
"step8.notesPlaceholder","Anything else you'd like us to know...","Gibt es noch etwas, das wir wissen sollten...",""
"step9.title","Almost there!","Fast geschafft!",""
"step9.subtitle","Sign in or create an account to submit your consultation","Melden Sie sich an oder erstellen Sie ein Konto, um Ihre Anfrage einzureichen",""
"step9.loginTab","Sign In","Anmelden",""
"step9.signupTab","Create Account","Konto erstellen",""
"step9.existingAccount","Already have an account?","Bereits ein Konto?",""
"step9.newAccount","New to Telederm?","Neu bei Telederm?",""
"step9.summary.title","Your consultation summary","Zusammenfassung Ihrer Anfrage",""
"step9.summary.concern","Concern","Anliegen",""
"step9.summary.location","Location","Stelle",""
"step9.summary.photos","Photos uploaded","Hochgeladene Fotos",""
"step9.consent","I agree to the terms of service and privacy policy, and consent to the processing of my health data for diagnosis purposes.","Ich stimme den Nutzungsbedingungen und der Datenschutzerklärung zu und willige in die Verarbeitung meiner Gesundheitsdaten für Diagnosezwecke ein.",""
"step9.submit","Submit Consultation","Anfrage einreichen",""
"step10.title","Consultation submitted!","Anfrage eingereicht!",""
"step10.subtitle","Thank you for trusting Telederm","Vielen Dank für Ihr Vertrauen in Telederm",""
"step10.responseTime","Expected response time","Erwartete Antwortzeit",""
"step10.responseValue","Within 24 hours","Innerhalb von 24 Stunden",""
"step10.nextSteps.title","What happens next?","Was passiert als nächstes?",""
"step10.nextSteps.step1","Our dermatologists will review your case","Unsere Dermatologen werden Ihren Fall prüfen",""
"step10.nextSteps.step2","You'll receive a notification when your diagnosis is ready","Sie erhalten eine Benachrichtigung, wenn Ihre Diagnose bereit ist",""
"step10.nextSteps.step3","View your diagnosis and treatment plan in your dashboard","Sehen Sie Ihre Diagnose und Ihren Behandlungsplan in Ihrem Dashboard",""
"step10.viewDashboard","Go to Dashboard","Zum Dashboard",""
"step10.submitAnother","Submit another consultation","Weitere Anfrage einreichen",""
